2022,2772514
2021,2724150
2020,2665425
2019,2579933
2018,2477751
2017,2373719
2016,2270933
2015,2174128
2014,2084820
2013,2004607
2012,1932547
2011,1866356
2010,1803838
2009,1745162
2008,1691861
2007,1642965
2006,1599228
2005,1561819
2004,1529372
2003,1500776
2002,1475250
2001,1450133
2000,1425094
1999,1401721
1998,1378918
1997,1353509
1996,1325199
1995,1296866
1994,1271997
1993,1247440
1992,1221826
1991,1195328
1990,1167310
1989,1141919
1988,1121454
1987,1099147
1986,1072089
1985,1046027
1984,1018723
1983,989828
1982,960143
1981,929724
1980,901949
1979,875069
1978,846756
1977,820478
1976,795180
1975,769049
1974,742862
1973,715455
1972,688165
1971,662482
1970,638824
1969,617798
1968,599279
1967,583240
1966,568933
1965,555159
1964,541871
1963,530004
1962,519280
1961,509464
1960,500885
